LOC119724510	T-box protein 1
LOC119728772	tripartite motif-containing protein 2-like
LOC119728773	E3 ubiquitin-protein ligase TRIM71-like
LOC119728774	uncharacterized LOC119728774
LOC119728775	uncharacterized LOC119728775
LOC119728776	neuromedin-U receptor 2-like
LOC119728777	neudesin-like
LOC119728778	uncharacterized LOC119728778
LOC119728779	uncharacterized LOC119728779
LOC119728780	THO complex subunit 1-like
LOC119728781	disks large-associated protein 5-like
LOC119728782	patched domain-containing protein 3-like
LOC119728783	uncharacterized LOC119728783
LOC119728784	uncharacterized LOC119728784
LOC119728785	protein EFR3 homolog B-like
LOC119728786	cyclin-G2-like
LOC119728789	cation-dependent mannose-6-phosphate receptor-like
LOC119728790	branched-chain-amino-acid aminotransferase-like protein 2
LOC119728791	interleukin-17D-like
LOC119728792	acid-sensing ion channel 5-like
LOC119728793	patched domain-containing protein 3-like
LOC119728794	acid-sensing ion channel 2-like
LOC119728795	acid-sensing ion channel 1C-like
LOC119728796	acid-sensing ion channel 1B-like
LOC119728797	serine/threonine-protein kinase Nek1-like
LOC119728798	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like
LOC119728799	folate receptor beta-like
LOC119728800	patched domain-containing protein 3-like
LOC119728801	uncharacterized LOC119728801
LOC119728802	uncharacterized LOC119728802
LOC119728803	tyrosine-protein kinase transmembrane receptor Ror-like
LOC119728805	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like
LOC119728806	gamma-aminobutyric acid type B receptor subunit 2-like
LOC119728807	tripartite motif-containing protein 3-like
LOC119728808	speract receptor-like
LOC119728809	zygote arrest protein 1-like
LOC119728810	patched domain-containing protein 3-like
LOC119728811	uncharacterized LOC119728811
LOC119728812	uncharacterized LOC119728812
LOC119728813	lectin-like
LOC119728816	transmembrane protein 185A-like
LOC119728817	sushi domain-containing protein 2-like
LOC119728818	telomeric repeat-binding factor 2-interacting protein 1-like
LOC119728820	uncharacterized LOC119728820
LOC119728822	palmitoyltransferase ZDHHC21-like
LOC119728823	solute carrier family 13 member 5-like
LOC119728824	kyphoscoliosis peptidase-like
LOC119728825	growth arrest and DNA damage-inducible proteins-interacting protein 1-like
LOC119728826	flocculation protein FLO11-like
LOC119728827	G-protein coupled receptor GRL101-like
LOC119728828	GS homeobox 1-like
LOC119728829	thiopurine S-methyltransferase-like
LOC119728830	thiopurine S-methyltransferase-like
LOC119728831	thiopurine S-methyltransferase-like
LOC119728832	C-type mannose receptor 2-like
LOC119728833	uncharacterized LOC119728833
LOC119728834	chromodomain-helicase-DNA-binding protein 1-like
LOC119728835	regucalcin-like
LOC119728836	protein FAM91A1-like
LOC119728837	N-acetylglucosamine-6-phosphate deacetylase-like
LOC119728838	small integral membrane protein 20-like
LOC119728839	steroid 17-alpha-hydroxylase/17,20 lyase-like
LOC119728840	patched domain-containing protein 3-like
LOC119728841	transmembrane 9 superfamily member 4-like
LOC119728842	uridine-cytidine kinase-like 1
LOC119728843	homeobox-containing protein 1-like
LOC119728844	40S ribosomal protein S20-like
LOC119728845	xylose isomerase-like
LOC119728846	atrial natriuretic peptide receptor 3-like
LOC119728849	polyketide synthase-nonribosomal peptide synthetase hybrid himA-like
LOC119728850	uncharacterized LOC119728850
LOC119728851	elongator complex protein 3
LOC119728852	squalene monooxygenase-like
LOC119728853	adenosine 3'-phospho 5'-phosphosulfate transporter 2-like
LOC119728854	R-spondin-4-like
LOC119728855	uncharacterized LOC119728855
LOC119728856	orexin receptor type 2-like
LOC119728857	centrosome and spindle pole associated protein 1-like
LOC119728858	uncharacterized LOC119728858
LOC119728860	choline dehydrogenase, mitochondrial-like
LOC119728861	monocarboxylate transporter 13-like
LOC119728862	monocarboxylate transporter 13-like
LOC119728864	uncharacterized protein in LEU2 3'region-like
LOC119728865	reducing polyketide synthase swnK-like
LOC119728866	cell wall integrity and stress response component 3-like
LOC119728867	adrenocorticotropic hormone receptor-like
LOC119728868	kappa-type opioid receptor-like
LOC119728869	beta-1 adrenergic receptor-like
LOC119728870	beta-1 adrenergic receptor-like
LOC119728871	adrenocorticotropic hormone receptor-like
LOC119728872	adrenocorticotropic hormone receptor-like
LOC119728873	highly reducing polyketide synthase easB-like
LOC119728874	octopamine receptor beta-2R-like
LOC119728875	beta-1 adrenergic receptor-like
LOC119728876	gastrula zinc finger protein XlCGF7.1-like
LOC119728877	phenolphthiocerol/phthiocerol polyketide synthase subunit C-like
LOC119728878	radial spoke head 10 homolog B-like
LOC119728879	protein FAM166C A-like
LOC119728880	eyes absent homolog 1-like
LOC119728881	monocarboxylate transporter 13-like
LOC119728882	reducing polyketide synthase swnK-like
LOC119728883	uncharacterized LOC119728883
LOC119728884	carbonic anhydrase-related protein 10-like
LOC119728885	hydroxysteroid dehydrogenase-like protein 2
LOC119728886	uncharacterized LOC119728886
LOC119728887	neuropeptides capa receptor-like
LOC119728889	uncharacterized LOC119728889
LOC119728890	sodium-coupled monocarboxylate transporter 1-like
LOC119728891	monocarboxylate transporter 13-like
LOC119728892	uncharacterized LOC119728892
LOC119728893	patched domain-containing protein 3-like
LOC119728895	uncharacterized LOC119728895
LOC119728898	battenin-like
LOC119728900	battenin-like
LOC119728903	snaclec convulxin subunit beta-like
LOC119728904	endoglucanase 4-like
LOC119728905	pre-mRNA-processing-splicing factor 8
LOC119728906	regucalcin-like
LOC119728907	guanine nucleotide-binding protein G(s) subunit alpha
LOC119728908	PMS1 protein homolog 1-like
LOC119728909	branched-chain-amino-acid aminotransferase-like protein 2
LOC119728910	pyridoxal phosphate phosphatase PHOSPHO2-like
LOC119728911	ORM1-like protein 2
LOC119728912	myosin-10-like
LOC119728913	post-GPI attachment to proteins factor 3-like
LOC119728914	coiled-coil domain-containing protein 173-like
LOC119728915	late secretory pathway protein AVL9 homolog
LOC119728916	D-3-phosphoglycerate dehydrogenase-like
LOC119728917	cation-dependent mannose-6-phosphate receptor-like
LOC119728918	splicing factor 3B subunit 1-like
LOC119728919	coiled-coil domain-containing protein 92-like
LOC119728920	uncharacterized LOC119728920
LOC119728921	uncharacterized LOC119728921
LOC119728922	coenzyme Q-binding protein COQ10 homolog A, mitochondrial-like
LOC119728923	growth/differentiation factor 8-like
LOC119728925	thyrotropin-releasing hormone receptor-like
LOC119728926	cyclic nucleotide-binding domain-containing protein 2-like
LOC119728927	protein LEG1 homolog
LOC119728929	titin-like
LOC119728932	BMP and activin membrane-bound inhibitor homolog
LOC119728933	adenosine receptor A3-like
LOC119728934	mediator of DNA damage checkpoint protein 1-like
LOC119728936	monocarboxylate transporter 13-like
LOC119728937	inhibin beta B chain-like
LOC119728938	E3 ubiquitin-protein ligase rnf146-like
LOC119728939	eukaryotic translation initiation factor 3 subunit E-A-like
LOC119728940	carboxypeptidase N subunit 2-like
LOC119728942	bypass of stop codon protein 1-like
LOC119728943	uncharacterized LOC119728943
LOC119728944	gamma-aminobutyric acid type B receptor subunit 1-like
LOC119728945	palmitoyl-protein thioesterase 1-like
LOC119728946	transmembrane protein 214-A-like
LOC119728947	regulator of G-protein signaling 20-like
LOC119728948	proto-oncogene tyrosine-protein kinase receptor Ret-like
LOC119728949	serotonin N-acetyltransferase-like
LOC119728950	nucleolar protein 10-like
LOC119728951	uncharacterized N-acetyltransferase C9.02c-like
LOC119728953	glucokinase regulatory protein-like
LOC119728954	uncharacterized LOC119728954
LOC119728955	E3 ubiquitin-protein ligase TRIM56-like
LOC119728956	probable cysteine desulfurase
LOC119728958	E3 ubiquitin-protein ligase TRIM56-like
LOC119728959	paraneoplastic antigen Ma3-like
LOC119728960	histone deacetylase 1-like
LOC119728961	salivary glue protein Sgs-3-like
LOC119728962	uncharacterized LOC119728962
LOC119728963	beta-1 adrenergic receptor-like
LOC119728964	melanocortin receptor 4-like
LOC119728965	uncharacterized LOC119728965
LOC119728966	uncharacterized LOC119728966
LOC119728967	acyl-protein thioesterase 1-like
LOC119728968	tyrosine kinase receptor Cad96Ca-like
LOC119728970	cytochrome P450 2C15-like
LOC119728971	monocarboxylate transporter 13-like
LOC119728972	nucleoside diphosphate kinase 6-like
LOC119728973	cytochrome P450 2J5-like
LOC119728975	IQ motif and ankyrin repeat domain-containing protein 1-like
LOC119728976	monocarboxylate transporter 7-like
LOC119728977	coiled-coil and C2 domain-containing protein 2A-like
LOC119728979	monocarboxylate transporter 13-like
LOC119728980	uncharacterized LOC119728980
LOC119728981	uncharacterized LOC119728981
LOC119728982	transcription initiation factor TFIID subunit 2-like
LOC119728983	40S ribosomal protein S21-like
LOC119728984	laminin subunit alpha-like
LOC119728985	intraflagellar transport protein 172 homolog
LOC119728986	uncharacterized LOC119728986
LOC119728988	uncharacterized LOC119728988
LOC119728989	uncharacterized LOC119728989
LOC119728990	XK-related protein 4-like
LOC119728991	suppressor of tumorigenicity 14 protein-like
LOC119728992	L-threonine 3-dehydrogenase, mitochondrial-like
LOC119728993	voltage-dependent calcium channel subunit alpha-2/delta-3-like
LOC119728994	carboxypeptidase D-like
LOC119728995	cell wall integrity and stress response component 3-like
LOC119728996	apoptosis-inducing factor 1, mitochondrial-like
LOC119728997	uncharacterized LOC119728997
LOC119728998	protein phosphatase methylesterase 1-like
LOC119728999	pirin-like
LOC119729001	monocarboxylate transporter 13-like
LOC119729002	uncharacterized LOC119729002
LOC119729003	39S ribosomal protein L15, mitochondrial-like
LOC119729004	PITH domain-containing protein 1-like
LOC119729005	extracellular matrix protein A-like
LOC119729006	coronin-7-like
LOC119729007	uncharacterized LOC119729007
LOC119729008	ubiquitin-fold modifier 1
LOC119729009	TBC domain-containing protein kinase-like protein
LOC119729011	uncharacterized LOC119729011
LOC119729012	transcription factor AP-2-epsilon-like
LOC119729013	uncharacterized LOC119729013
LOC119729014	leucine-rich repeat-containing protein 24-like
LOC119729015	leucine-rich repeat-containing protein 24-like
LOC119729016	rRNA-processing protein UTP23 homolog
LOC119729017	eukaryotic translation initiation factor 3 subunit H-B-like
LOC119729018	SPRY domain-containing SOCS box protein 3-like
LOC119729020	probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
LOC119729022	polycystic kidney disease protein 1-like 2
LOC119729023	rho GTPase-activating protein gacK-like
LOC119729024	microtubule-associated protein RP/EB family member 1-like
LOC119729025	uncharacterized LOC119729025
LOC119729026	phosphatase and actin regulator 4-like
LOC119729027	UDP-glucose 4-epimerase-like
LOC119729028	uncharacterized LOC119729028
LOC119729029	interleukin-17A-like
LOC119729030	adhesion G protein-coupled receptor E2-like
LOC119729031	replication termination factor 2-like
LOC119729032	stromal membrane-associated protein 1-like
LOC119729033	protein LTV1 homolog
LOC119729034	solute carrier family 17 member 9-like
LOC119729035	COP9 signalosome complex subunit 5
LOC119729036	beta-1,4-galactosyltransferase 6-like
LOC119729037	protein tilB homolog
LOC119729038	tektin-B1-like
LOC119729039	protein mab-21-like 2
LOC119729040	ATP-dependent DNA helicase Q1-like
LOC119729041	ribonucleoside-diphosphate reductase subunit M2 B-like
LOC119729042	O(6)-methylguanine-induced apoptosis 2-like
LOC119729043	probable E3 ubiquitin-protein ligase RNF144A
LOC119729044	patched domain-containing protein 3-like
LOC119729045	C-type lectin mannose-binding isoform-like
LOC119729046	dTDP-glucose 4,6-dehydratase-like
LOC119729047	uncharacterized LOC119729047
LOC119729048	vacuolar protein sorting-associated protein 28 homolog
LOC119729049	actin-5-like
LOC119729050	meiotic recombination protein SPO11-like
LOC119729051	uncharacterized LOC119729051
LOC119729052	uncharacterized LOC119729052
LOC119729053	choline transporter-like protein 1
LOC119729054	uncharacterized LOC119729054
LOC119729055	uncharacterized LOC119729055
LOC119729056	uncharacterized LOC119729056
LOC119729057	uncharacterized LOC119729057
LOC119729058	uncharacterized LOC119729058
LOC119729059	uncharacterized LOC119729059
LOC119729061	trifunctional enzyme subunit alpha, mitochondrial-like
LOC119729062	piggyBac transposable element-derived protein 5-like
LOC119729063	trifunctional enzyme subunit beta, mitochondrial-like
LOC119729064	paired mesoderm homeobox protein 2B-like
LOC119729066	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon-like
LOC119729067	perlucin-like protein
LOC119729068	uncharacterized LOC119729068
LOC119729069	uncharacterized LOC119729069
LOC119729070	uncharacterized LOC119729070
LOC119729071	protein dispatched homolog 1-like
LOC119729073	protein dispatched homolog 1-like
LOC119729074	transmembrane protein 68-like
LOC119729075	cerebral cavernous malformations protein 2 homolog
LOC119729076	uncharacterized LOC119729076
LOC119729077	uncharacterized LOC119729077
LOC119729078	UDP-glucose 4-epimerase-like
LOC119729080	DEP domain-containing mTOR-interacting protein-like
LOC119729081	sister chromatid cohesion protein DCC1-like
LOC119729082	beta-1,4-galactosyltransferase 6-like
LOC119729083	monocarboxylate transporter 14-like
LOC119729084	poly(U)-specific endoribonuclease-like
LOC119729085	beta-1,4-galactosyltransferase 6-like
LOC119729086	uncharacterized LOC119729086
LOC119729089	potassium voltage-gated channel subfamily B member 1-like
LOC119729090	monocarboxylate transporter 12-like
LOC119729091	circadian locomoter output cycles protein kaput-like
LOC119729092	C-type lectin mannose-binding isoform-like
LOC119729093	P-selectin-like
LOC119729094	probable lysosomal cobalamin transporter
LOC119729095	dystrobrevin alpha-like
LOC119729098	uncharacterized LOC119729098
LOC119729099	uncharacterized LOC119729099
LOC119729100	uncharacterized LOC119729100
LOC119729101	uncharacterized LOC119729101
LOC119729102	proteoglycan 4-like
LOC119729103	syntenin-1-like
LOC119729104	mediator of RNA polymerase II transcription subunit 23-like
LOC119729107	uncharacterized LOC119729107
LOC119729108	CYFIP-related Rac1 interactor B-like
LOC119729109	protein unc-93 homolog A-like
LOC119729110	myc protein-like
LOC119729112	C-type lectin mannose-binding isoform-like
LOC119729115	tRNA dimethylallyltransferase-like
LOC119729116	perlucin-like protein
LOC119729117	uncharacterized oxidoreductase TM_0325-like
LOC119729118	GTP:AMP phosphotransferase AK3, mitochondrial-like
LOC119729119	mucin-17-like
LOC119729120	uncharacterized LOC119729120
LOC119729121	tyrosine-protein kinase SRK2-like
LOC119729122	E3 ubiquitin-protein ligase TRIM56-like
LOC119729123	stathmin-like
LOC119729124	histidine triad nucleotide-binding protein 3-like
LOC119729125	NXPE family member 1-like
LOC119729126	uncharacterized LOC119729126
LOC119729127	phenolphthiocerol/phthiocerol polyketide synthase subunit C-like
LOC119729128	splicing factor 3B subunit 5
LOC119729129	regulator of chromosome condensation-like
LOC119729130	monocarboxylate transporter 12-B-like
LOC119729131	heparan sulfate glucosamine 3-O-sulfotransferase 5-like
LOC119729132	calcium and integrin-binding protein 1-like
LOC119729133	PCNA-interacting partner-like
LOC119729134	p21-activated protein kinase-interacting protein 1-like
LOC119729135	patched domain-containing protein 3-like
LOC119729136	tRNA selenocysteine 1-associated protein 1-like
LOC119729137	transmembrane protein 196-like
LOC119729138	tyrosine kinase receptor Cad96Ca-like
LOC119729139	uncharacterized protein C8orf74-like
LOC119729140	putative nuclease HARBI1
LOC119729141	C-type lectin mannose-binding isoform-like
LOC119729142	uncharacterized LOC119729142
LOC119729143	branched-chain-amino-acid aminotransferase-like protein 2
LOC119729144	interleukin-17D-like
LOC119729145	4-coumarate--CoA ligase 1-like
LOC119729147	ornithine decarboxylase-like
LOC119729148	Krueppel-like factor 10
LOC119729149	protein DEK-like
LOC119729152	ribonuclease H1-like
LOC119729153	40S ribosomal protein S7-like
LOC119729154	elongin-C
LOC119729155	uncharacterized LOC119729155
LOC119729157	mRNA export factor-like
LOC119729158	eukaryotic translation initiation factor 2 subunit 1-like
LOC119729159	regulator of telomere elongation helicase 1-like
LOC119729160	tyramine receptor Ser-2-like
LOC119729161	melanotransferrin-like
LOC119729162	kelch-like protein 24
LOC119729163	piRNA biogenesis protein EXD1-like
LOC119729164	uncharacterized LOC119729164
LOC119729165	cell wall integrity and stress response component 4-like
LOC119729166	uncharacterized LOC119729166
LOC119729167	uncharacterized LOC119729167
LOC119729168	pyrokinin-1 receptor-like
LOC119729170	sodium-dependent lysophosphatidylcholine symporter 1-like
LOC119729171	syntaxin-7-like
LOC119729173	uncharacterized LOC119729173
LOC119729174	uncharacterized LOC119729174
LOC119729175	syntaxin-7-like
LOC119729176	syntaxin-7-like
LOC119729177	syntaxin-7-like
LOC119729178	stathmin domain-containing protein 1-like
LOC119729179	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729180	ras-related protein Rab-13-like
LOC119729181	uncharacterized LOC119729181
LOC119729182	ras and EF-hand domain-containing protein homolog
LOC119729183	GATOR complex protein DEPDC5-like
LOC119729184	ras-related protein Rab-10-like
LOC119729185	serine/threonine-protein kinase MAK-like
LOC119729186	snaclec mucetin subunit beta-like
LOC119729188	uncharacterized LOC119729188
LOC119729189	uncharacterized LOC119729189
LOC119729190	nuclear pore complex protein Nup153-like
LOC119729191	exportin-2-like
LOC119729192	39S ribosomal protein L16, mitochondrial-like
LOC119729193	transient receptor potential cation channel subfamily A member 1-like
LOC119729194	low affinity immunoglobulin epsilon Fc receptor-like
LOC119729195	tripartite motif-containing protein 3-like
LOC119729196	DNA primase large subunit-like
LOC119729197	nucleolar protein 4-like
LOC119729198	probable G-protein coupled receptor No18
LOC119729199	enoyl-[acyl-carrier-protein] reductase, mitochondrial-like
LOC119729200	40S ribosomal protein S12-like
LOC119729201	F-box only protein 32-like
LOC119729202	uncharacterized LOC119729202
LOC119729203	lysosomal-associated transmembrane protein 4A-like
LOC119729206	nuclear transcription factor Y subunit gamma-like
LOC119729207	uncharacterized protein CXorf40 homolog
LOC119729208	uncharacterized LOC119729208
LOC119729209	thyrotropin-releasing hormone receptor-like
LOC119729210	sulfotransferase 1A1-like
LOC119729211	regulating synaptic membrane exocytosis protein 1-like
LOC119729212	gamma-aminobutyric acid type B receptor subunit 2-like
LOC119729213	uncharacterized peptidase C1-like protein F26E4.3
LOC119729214	uncharacterized peptidase C1-like protein F26E4.3
LOC119729215	uncharacterized LOC119729215
LOC119729216	patched domain-containing protein 3-like
LOC119729217	tubulointerstitial nephritis antigen-like
LOC119729218	monocarboxylate transporter 13-like
LOC119729219	ADP-ribosylation factor GTPase-activating protein 1-like
LOC119729220	ethylmalonyl-CoA decarboxylase-like
LOC119729221	phenolphthiocerol/phthiocerol polyketide synthase subunit C-like
LOC119729222	acetyl-coenzyme A synthetase, cytoplasmic-like
LOC119729223	beta-1 adrenergic receptor-like
LOC119729224	replication protein A 32 kDa subunit-like
LOC119729225	membrane progestin receptor beta-like
LOC119729226	jouberin-like
LOC119729227	prolactin regulatory element-binding protein-like
LOC119729228	protein phosphatase 1 regulatory subunit 42-like
LOC119729229	uncharacterized LOC119729229
LOC119729230	von Hippel-Lindau disease tumor suppressor-like
LOC119729231	putative pyrophosphatase PpaX
LOC119729232	uncharacterized LOC119729232
LOC119729233	non-structural maintenance of chromosomes element 1 homolog
LOC119729234	transmembrane protein 14C-like
LOC119729235	uncharacterized LOC119729235
LOC119729237	5-hydroxytryptamine receptor 1D-like
LOC119729238	calpain-A-like
LOC119729239	nuclear inhibitor of protein phosphatase 1-like
LOC119729240	transcription elongation factor A protein 1-like
LOC119729242	ADP-ribose glycohydrolase OARD1-like
LOC119729243	venom phosphodiesterase 2-like
LOC119729244	uncharacterized LOC119729244
LOC119729245	eukaryotic translation elongation factor 1 epsilon-1-like
LOC119729246	uncharacterized LOC119729246
LOC119729247	mucin-3A-like
LOC119729248	uncharacterized LOC119729248
LOC119729249	uncharacterized LOC119729249
LOC119729250	uncharacterized LOC119729250
LOC119729251	uncharacterized LOC119729251
LOC119729252	uncharacterized LOC119729252
LOC119729253	monocarboxylate transporter 13-like
LOC119729254	monocarboxylate transporter 11-like
LOC119729255	trafficking protein particle complex subunit 12-like
LOC119729256	EARP-interacting protein homolog
LOC119729257	myelin transcription factor 1-like
LOC119729259	lethal(3)malignant brain tumor-like protein 4
LOC119729260	protein-L-isoaspartate O-methyltransferase domain-containing protein 2-like
LOC119729261	ribonucleases P/MRP protein subunit POP1-like
LOC119729262	modulator of smoothened protein-like
LOC119729264	ATP-dependent DNA/RNA helicase DHX36-like
LOC119729265	uncharacterized LOC119729265
LOC119729266	thyrotropin-releasing hormone receptor-like
LOC119729267	uncharacterized LOC119729267
LOC119729268	monocarboxylate transporter 13-like
LOC119729269	uncharacterized LOC119729269
LOC119729270	phosphotriesterase-related protein-like
LOC119729271	phosphotriesterase-related protein-like
LOC119729273	uncharacterized LOC119729273
LOC119729274	serine/threonine-protein kinase mos
LOC119729275	syntaxin-7-like
LOC119729276	protein C9orf135-like
LOC119729277	protein Shroom2-like
LOC119729278	thiopurine S-methyltransferase-like
LOC119729279	Bloom syndrome protein-like
LOC119729280	mitochondrial enolase superfamily member 1-like
LOC119729281	HBS1-like protein
LOC119729282	uncharacterized LOC119729282
LOC119729283	ornithine decarboxylase-like
LOC119729284	ankyrin repeat domain-containing protein 29-like
LOC119729286	acylpyruvase FAHD1, mitochondrial-like
LOC119729287	ankyrin repeat domain-containing protein 66-like
LOC119729288	uncharacterized LOC119729288
LOC119729289	uncharacterized LOC119729289
LOC119729290	uncharacterized LOC119729290
LOC119729291	uncharacterized LOC119729291
LOC119729292	uncharacterized LOC119729292
LOC119729293	sodium-coupled monocarboxylate transporter 1-like
LOC119729294	sodium-coupled monocarboxylate transporter 1-like
LOC119729295	uncharacterized LOC119729295
LOC119729296	scavenger receptor cysteine-rich domain superfamily protein
LOC119729297	sodium-coupled monocarboxylate transporter 1-like
LOC119729298	neurensin-1-like
LOC119729301	transient receptor potential cation channel subfamily A member 1-like
LOC119729302	transmembrane protein 65-like
LOC119729304	uncharacterized LOC119729304
LOC119729305	uncharacterized LOC119729305
LOC119729306	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729310	peroxisomal membrane protein PEX13-like
LOC119729311	C-type lectin mannose-binding isoform-like
LOC119729312	uncharacterized LOC119729312
LOC119729313	peroxisomal membrane protein PEX13-like
LOC119729315	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729316	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729317	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 3-like
LOC119729318	muscarinic acetylcholine receptor M5-like
LOC119729319	uncharacterized LOC119729319
LOC119729320	neuronal acetylcholine receptor subunit alpha-10-like
LOC119729321	uncharacterized LOC119729321
LOC119729324	E3 ubiquitin-protein ligase SH3RF1-like
LOC119729326	perlucin-like protein
LOC119729327	extracellular serine proteinase-like
LOC119729328	NACHT, LRR and PYD domains-containing protein 12-like
LOC119729329	perlucin-like protein
LOC119729330	uncharacterized LOC119729330
LOC119729331	putative hydroxypyruvate isomerase
LOC119729332	lactose-binding lectin l-2-like
LOC119729334	basic salivary proline-rich protein 3-like
LOC119729335	cytochrome P450 2D4-like
LOC119729337	uncharacterized LOC119729337
LOC119729338	early nodulin-75-like
LOC119729341	uncharacterized LOC119729341
LOC119729342	lactose-binding lectin l-2-like
LOC119729343	4-hydroxybenzoate polyprenyltransferase, mitochondrial-like
LOC119729345	probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein
LOC119729346	vesicle-associated membrane protein 7-like
LOC119729347	integrin-linked protein kinase-like
LOC119729348	GATOR complex protein DEPDC5-like
LOC119729349	U3 small nucleolar RNA-associated protein 18 homolog
LOC119729350	vacuolar protein sorting-associated protein 37A-like
LOC119729351	CCR4-NOT transcription complex subunit 7-like
LOC119729352	basic phospholipase A2 RVV-VD-like
LOC119729353	hyalin-like
LOC119729354	neurotrypsin-like
LOC119729355	ubiquitin carboxyl-terminal hydrolase 24-like
LOC119729356	signal peptidase complex subunit 3-like
LOC119729357	uncharacterized LOC119729357
LOC119729358	pancreatic triacylglycerol lipase-like
LOC119729359	perlucin-like protein
LOC119729360	lactose-binding lectin l-2-like
LOC119729364	C-type lectin domain family 4 member M-like
LOC119729365	late histone H1-like
LOC119729366	39S ribosomal protein L16, mitochondrial-like
LOC119729368	uncharacterized LOC119729368
LOC119729369	uncharacterized LOC119729369
LOC119729370	gamma-aminobutyric acid receptor subunit alpha-2-like
LOC119729371	uncharacterized LOC119729371
LOC119729372	uncharacterized LOC119729372
LOC119729374	thyrotropin-releasing hormone receptor-like
LOC119729375	monocarboxylate transporter 14-like
LOC119729376	octopamine receptor-like
LOC119729377	uncharacterized LOC119729377
LOC119729378	bombesin receptor subtype-3-like
LOC119729379	uncharacterized LOC119729379
LOC119729381	beta-3 adrenergic receptor-like
LOC119729382	dynein light chain LC6, flagellar outer arm-like
LOC119729383	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729384	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729385	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC119729387	UPF0390 protein zgc136864-like
LOC119729389	monocarboxylate transporter 12-like
LOC119729390	uncharacterized LOC119729390
LOC119729392	transmembrane protein 184C-like
LOC119729393	perlucin-like protein
LOC119729437	G patch domain-containing protein 3-like
LOC119729453	uncharacterized LOC119729453
LOC119729459	bombesin receptor subtype-3-like
LOC119729460	uncharacterized LOC119729460
LOC119729461	gamma-aminobutyric acid receptor subunit beta-like
LOC119729462	cilia- and flagella-associated protein 44-like
LOC119729464	glycine receptor subunit alpha-2-like
LOC119729465	corticotropin-releasing factor-binding protein-like
LOC119729466	uncharacterized LOC119729466
LOC119729467	uncharacterized LOC119729467
LOC119729468	uncharacterized LOC119729468
LOC119729469	uncharacterized LOC119729469
LOC119729470	ovomucoid-like
LOC119729471	coiled-coil domain-containing protein 177-like
LOC119729472	uncharacterized LOC119729472
LOC119729473	uncharacterized LOC119729473
LOC119729475	uncharacterized LOC119729475
LOC119729476	protein SSUH2 homolog
LOC119729477	CDK5 regulatory subunit-associated protein 3-like
LOC119729478	RING finger protein 215-like
LOC119729479	juxtaposed with another zinc finger protein 1-like
LOC119729480	uncharacterized LOC119729480
LOC119729481	sulfotransferase 2A1-like
LOC119729482	selenocysteine insertion sequence-binding protein 2-like
LOC119729483	cytoplasmic aconitate hydratase-like
LOC119729484	proton-coupled folate transporter-like
LOC119729485	TELO2-interacting protein 2-like
LOC119729486	hydroxysteroid 11-beta-dehydrogenase 1-like protein
LOC119729487	RING finger protein 10-like
LOC119729488	hydroxysteroid 11-beta-dehydrogenase 1-like protein
LOC119729489	proton-coupled folate transporter-like
LOC119729490	NADPH oxidase 5-like
LOC119729491	dihydrofolate reductase-like
LOC119729492	gamma-aminobutyric acid type B receptor subunit 2-like
LOC119729493	tyrosine-protein kinase Fer-like
LOC119729494	F-box/LRR-repeat protein 17-like
LOC119729495	uncharacterized protein At4g04980-like
LOC119729496	uncharacterized LOC119729496
LOC119729497	uncharacterized LOC119729497
LOC119729498	telomerase protein component 1-like
LOC119729499	cell wall protein IFF6-like
LOC119729500	extended synaptotagmin-2-like
LOC119729501	uncharacterized LOC119729501
LOC119729502	aminopeptidase N-like
LOC119729503	ADP/ATP translocase 3-like
LOC119729504	trace amine-associated receptor 9-like
LOC119729505	uncharacterized LOC119729505
LOC119729506	uncharacterized LOC119729506
LOC119729507	CAP-Gly domain-containing linker protein 1-like
LOC119729508	uncharacterized LOC119729508
LOC119729509	macrophage mannose receptor 1-like
LOC119729510	homeobox protein SEBOX-like
LOC119729511	corticotropin-releasing factor-binding protein-like
LOC119729512	uncharacterized LOC119729512
LOC119729514	integumentary mucin A.1-like
LOC119729515	GH3 domain-containing protein-like
LOC119729516	indole-3-acetic acid-amido synthetase GH3.4-like
LOC119729517	GH3 domain-containing protein-like
LOC119729518	GH3 domain-containing protein-like
LOC119729519	GH3 domain-containing protein-like
LOC119729520	probable indole-3-acetic acid-amido synthetase GH3.8
LOC119729522	uncharacterized LOC119729522
LOC119729523	aminopeptidase N-like
